year,month,day,Book,number,place,point/region,locate_as,recipient (s),clerical/secular,individual/several individuals/group,Location of pope,locate_as_pope,number of words,gender (m/f),Encouragement/ Inform/ Request/ Instruction / Warning (E/Inf/R/Ins/W),Revisit,notes,lat,lon,geo,pope_lat,pope_lon
1073,April,23,1,1,Monte Cassino,p,,abbot,c,i,Rome,,359,m,"inf, ins",,,[41.49],[13.81388889],map,41.88333333,12.5
1073,April,23,1,2,Salerno,p,,prince,s,i,Rome,,133,m,"inf, ins",,,[40.68333333],[14.76666667],map,41.88333333,12.5
1073,April,26,1,3,Ravenna,p,Ravenna Cathedral,archbishop,c,i,Rome,,558,m,inf,,Located as Ravenna Cathedral for mapping purposes. ,[44.4156],[12.1966],map,41.88333333,12.5
1073,April,29,1,5,Florence,p,,bishop,c,i,Rome,,236,m,ins,,,[43.78333333],[11.25],map,41.88333333,12.5
1073,April,28,1,4,Tuscany,r,Canossa Castle,duchess,s,si,Rome,,562,f,inf,,Not stated content or words. But noted as a 'version' of previous letter with altered towards end depending on recipient and so Word count and tone taken as the same for all with 562 words,[44.576],[10.456],map,41.88333333,12.5
1073,April,28,1,4,Cluny,p,,abbot,c,i,Rome,,562,m,inf,,,[46.43416667],[4.65916667],map,41.88333333,12.5
1073,April,28,1,4,Reims,p,,archbishop,c,i,Rome,,562,m,inf,,,[49.2628],[4.0347],map,41.88333333,12.5
1073,April,28,1,4,Marseille,p,,abbot,c,i,Rome,,562,m,inf,,,[43.2964],[5.37],map,41.88333333,12.5
1073,April,28,1,4,Denmark,r,Copenhagen,king,s,i,Rome,,562,m,inf,,Taken to be in Copenhagen.,[55.67611111],[12.56833333],map,41.88333333,12.5
1073,April,30,1,6,Gaul,r,Paris,legate,c,si,Rome,,779,m,"inf, r",,Taken to be in Paris because Gerald held council there,[48.856613],[2.352222],map,41.88333333,12.5
1073,April,30,1,7,Gaul ,r,Paris,baron,s,si,Rome,,503,m,w,,Taken to be in Paris because linked to previous,[48.856613],[2.352222],map,41.88333333,12.5
1073,April,30,1,8,n/a,n/a,,legate,c,si,Rome,,292,m,"inf, ins",,,,,NO MAP,41.88333333,12.5
1073,May,6,1,9,Lower Lorraine,r,Bouillon,duke,s,i,Rome,,633,m,"e, inf",,Taken to be in Bouillon.,[49.7955],[5.068],map,41.88333333,12.5
1073,June,1,1,10,Imola,p,,count,s,i,Rome,,365,m,ins,,,[44.35305556],[11.71472222],map,41.88333333,12.5
1073,June,24,1,11,Tuscany,r,Canossa Castle,countess,s,si,Rome,,699,f,"r, inf",,Taken to be in Canossa.,[44.576],[10.456],map,41.88333333,12.5
1073,June,29,1,12,Pavia,p,,bishop,c,i,Rome,,490,m,r,,,[45.18333333],[9.15],map,41.88333333,12.5
1073,June,30,1,13,Reims,p,,archbishop,c,i,Rome,,587,m,w,,,[49.2628],[4.0347],map,41.88333333,12.5
1073,June,30,1,14,Cluny,p,,abbot,c,i,Rome,,218,m,r,,,[46.43416667],[4.65916667],map,41.88333333,12.5
1073,July,1,1,15,Lombardy,r,Milan,clergy,c,g,Rome,,636,m,w,,"Located as Milan, refers generally to Lombardy.",[45.46694444],[9.19],map,41.88333333,12.5
1073,July,1,1,16,Spain ,r,León Spain,legate,c,i,Rome,,654,m,ins,,Taken to be in Leon.,[42.60555556],[-5.57],map,41.88333333,12.5
1073,July,8,1,17,Bohemia,r,Prague ,duke,s,i,Laurentum,Ostia,608,m,"r, w",,Taken to be in Prague; Laurentum lost site near Ostia,[50.08333333],[14.41666667],map,41.75583333,12.29166667
1073,July,9,1,18,Constantinople ,p,Istanbul,emperor,s,i,Albano,,342,m,"e, ins",,Taken to be in Istanbul.,[41.01361111],[28.955],map,41.73333333,12.66666667
1073,August,12,1,18a,Benevento,p,,prince,s,si,Benevento,,294,m,"w, ins",,,[41.13333333],[14.78333333],map,41.13333333,14.78333333
1073,September,1,1,19,Swabia,r,Konstanz,duke,s,i,Capua,Sant%27Angelo_in_Formis,492,m,"e, r",,Taken to be in Konstanz.,[47.66666667],[9.18333333],map,41.885,12.49666667
1073,September,1,1,20,Como,p,,bishop,c,i,Capua,Sant%27Angelo_in_Formis,750,m,"ins, e",,,[45.81666667],[9.08333333],map,41.885,12.49666667
1073,September,1,1,21,Lucca,p,,bishop,c,i,Capua,Sant%27Angelo_in_Formis,243,m,ins,,,[43.84166667],[10.50277778],map,41.885,12.49666667
1073,September,15,1,22,Carthage,p,Tunis,people,"s, c",g,Capua,Sant%27Angelo_in_Formis,995,"m, f",w,,Located as Tunis for mapping purposes. ,[36.80638889],[10.18166667],map,41.885,12.49666667
1073,September,15,1,23,Carthage,p,Tunis,bishop,c,i,Capua,Sant%27Angelo_in_Formis,507,m,"e, ins",,As above. ,[36.80638889],[10.18166667],map,41.885,12.49666667
1073,September,24,1,24,Verona,p,,bishop,c,i,Capua,Sant%27Angelo_in_Formis,304,m,r,,,[45.43861111],[10.99277778],map,41.885,12.49666667
